Fecha,Hora,Nombre,Calorias (kcal),Carbohidratos (g),Lípidos (g),Proteína (g),Sodio (mg)
17/08/2020,7:50,Cereal,200,33,5,9,140
17/08/2020,7:50,Platano,105,27,0.4,1.3,0
17/08/2020,7:50,Taza de leche,147,12,7.5,7.8,0
17/08/2020,9:50,Pay de manzana,260,40,10,3,270
17/08/2020,9:50,2 Huevos,312,2.4,21.2,25.2,0
17/08/2020,9:50,1/2 atun en agua,54.5,0,1,11.25,239
17/08/2020,19:47,Pay de manzana,260,40,10,3,270
17/08/2020,19:50,Taza de leche,147,12,7.5,7.8,0
17/08/2020,19:50,4 Tostadas,168,32,20,3.6,312
17/08/2020,19:50,150g gramos de pierna,267,0,177,27,0
17/08/2020,19:50,200g frijoles peruanos,222.3,16.64,11.44,13.26,613.86
17/08/2020,23:04,Cereal,200,33,5,9,140
17/08/2020,23:04,Platano,105,27,0.4,1.3,0
18/08/2020,10:30,Cereal,200,33,5,9,140
18/08/2020,10:30,Platano,105,27,0.4,1.3,0
18/08/2020,2:03,Pay de manzana,260,40,10,3,270
18/08/2020,2:03,150ml Yogurt fresa,110,19,2.5,4,50
18/08/2020,2:04,1 Salchicha de pavo,126,1.7,10.5,6.3,475
18/08/2020,2:04,200g frijoles peruanos,222.3,16.64,11.44,13.26,613.86
18/08/2020,19:35,Platano,105,27,0.4,1.3,0
18/08/2020,19:35,4 Tostadas,168,32,20,3.6,312
18/08/2020,19:35,150g gramos de pierna,267,0,177,27,0
18/08/2020,19:35,200g frijoles peruanos,222.3,16.64,11.44,13.26,613.86
18/08/2020,20:18,2 pan integral,260,40,4,16,380
18/08/2020,20:18,30g crema de avellana,160,17.2,9.2,1.8,10
18/08/2020,20:18,Taza de leche,147,12,7.5,7.8,0
18/08/2020,23:48,2 pan integral,260,40,4,16,380
18/08/2020,23:48,150g gramos de pierna,267,0,177,27,0
18/08/2020,23:48,150ml Sopa,140,4,1,3.8,2
19/08/2020,10:10,4 Huevos,624,4.8,42.4,50.4,0
19/08/2020,10:10,1/2 Atun,54.5,0,1,11.25,239
19/08/2020,13:28,Arroz con leche,169,29.6,3.6,4.6,77
19/08/2020,17:22,Carne molida con vegetales,414,0,27.9,38.1,600
19/08/2020,17:22,200g frijoles peruanos,222.3,16.64,11.44,13.26,613.86
19/08/2020,17:22,4 tortillas,520,88,14,16,0
19/08/2020,22:22,150g gramos de pierna,267,0,177,27,0
19/08/2020,22:22,2 pan integral,260,40,4,16,380
20/08/2020,10:17,2 pan integral,260,40,4,16,380
20/08/2020,10:17,30g crema de avellana,160,17.2,9.2,1.8,10
20/08/2020,15:05,Platano,105,27,0.4,1.3,0
20/08/2020,15:26,150ml Yogurt fresa,110,19,2.5,4,50
20/08/2020,15:30,Carne molida con vegetales,414,0,27.9,38.1,600
20/08/2020,15:30,200g frijoles peruanos,222.3,16.64,11.44,13.26,613.86
20/08/2020,15:30,4 tortillas,520,88,14,16,0
20/08/2020,22:48,Churrumais,270,33,14,3,510
20/08/2020,23:28,Carne con atun,400,70,24,32,645
20/08/2020,23:28,Pure de papa,105,16,3.7,1.9,243
21/08/2020,1:00,3 Huevos,468,3.6,31.8,37.8,0
21/08/2020,1:00,Carne con atun,400,70,24,32,645
21/08/2020,19:10,100g carnitas,220,0,16,19,210
